21,73.53,0.29
23,129.82,0.18
23,82.83,0.28
26,102.68,0.25
29,120.39,0.24
27,109.26,0.25
32,128.83,0.25
19,72.3,0.26
30,110.47,0.27
23,119.9,0.19
28,127.02,0.22
22,80.88,0.27
21,84.61,0.25
34,119.75,0.28
25,105.36,0.24
23,113.39,0.2
31,121.91,0.25
19,81.67,0.23
27,118.12,0.23
27,108.87,0.25
17,81.79,0.21
23,103.13,0.22
27,109.4,0.25
26,111.58,0.23
26,87.29,0.3
18,65.85,0.27
17,88.51,0.19
25,107.26,0.23
30,119.51,0.25
22,80.9,0.27
29,113.24,0.26
17,71.98,0.24
31,125.18,0.25
27,119.41,0.23
20,99.57,0.2
18,61.55,0.29
26,94.85,0.27
32,143.35,0.22
23,93.55,0.25
25,106.61,0.23
30,106.81,0.28
20,86.02,0.23
22,63.88,0.34
27,84.64,0.32
29,114.32,0.25
29,137.62,0.21
19,91.67,0.21
21,80.86,0.26
29,98.12,0.3
27,103.33,0.26
17,53.64,0.32
26,111.27,0.23
29,136.21,0.21
18,89.15,0.2
16,67.69,0.24
23,85.95,0.27
14,74.54,0.19
25,99.56,0.25
26,91.43,0.28
28,125.7,0.22
24,93.06,0.26
30,137.0,0.22
26,123.96,0.21
23,93.7,0.25
25,92.09,0.27
30,121.55,0.25
20,79.16,0.25
27,122.31,0.22
32,100.05,0.32
20,104.87,0.19
20,86.27,0.23
26,108.4,0.24
19,80.36,0.24
31,121.78,0.25
27,98.65,0.27
31,133.75,0.23
26,130.02,0.2
27,118.15,0.23
23,87.15,0.26
22,94.78,0.23
30,108.18,0.28
27,105.28,0.26
28,108.22,0.26
19,73.59,0.26
27,119.71,0.23
29,110.28,0.26
27,115.7,0.23
26,86.08,0.3
23,85.99,0.27
32,111.98,0.29
24,104.26,0.23
25,114.36,0.22
34,129.14,0.26
19,79.54,0.24
30,108.43,0.28
26,130.49,0.2
16,68.93,0.23
20,97.69,0.2
30,139.25,0.22
21,85.75,0.24
28,119.48,0.23
19,79.68,0.24
29,94.53,0.31
26,134.07,0.19
26,113.37,0.23
21,98.95,0.21
23,95.75,0.24
29,108.5,0.27
21,90.04,0.23
31,111.67,0.28
28,129.85,0.22
18,79.27,0.23
18,70.58,0.26
20,99.11,0.2
33,117.61,0.28
43,160.2,0.27
23,84.63,0.27
25,108.5,0.23
20,71.26,0.28
29,119.37,0.24
28,106.72,0.26
17,59.97,0.28
26,108.67,0.24
24,110.06,0.22
38,161.06,0.24
26,82.69,0.31
22,95.08,0.23
14,61.83,0.23
24,105.39,0.23
29,135.0,0.21
28,93.97,0.3
25,115.84,0.22
27,94.64,0.29
19,54.63,0.35
20,90.46,0.22
24,79.98,0.3
28,117.5,0.24
29,132.0,0.22
19,64.86,0.29
27,129.19,0.21
26,113.59,0.23
24,106.64,0.23
28,124.85,0.22
25,109.5,0.23
20,83.26,0.24
39,168.68,0.23
24,94.72,0.25
29,121.87,0.24
17,80.22,0.21
28,119.6,0.23
21,92.42,0.23
28,106.44,0.26
24,79.96,0.3
16,71.17,0.22
25,101.24,0.25
20,84.49,0.24
31,103.95,0.3
23,83.28,0.28
24,107.28,0.22
27,103.43,0.26
25,98.0,0.26
27,128.47,0.21
17,81.59,0.21
18,85.61,0.21
21,99.82,0.21
23,93.26,0.25
20,84.48,0.24
14,65.26,0.21
26,111.95,0.23
18,64.52,0.28
28,116.83,0.24
26,123.41,0.21
28,111.99,0.25
29,120.08,0.24
30,147.18,0.2
24,107.15,0.22
22,91.63,0.24
13,57.98,0.22
18,70.98,0.25
20,96.87,0.21
14,64.88,0.22
25,106.39,0.23
25,87.25,0.29
26,96.73,0.27
29,123.83,0.23
16,61.05,0.26
28,96.5,0.29
24,85.14,0.28
18,83.96,0.21
25,121.87,0.21
28,110.96,0.25
35,116.83,0.3
26,122.48,0.21
20,90.91,0.22
20,90.91,0.22
28,124.04,0.23
29,132.5,0.22
21,91.72,0.23
21,99.7,0.21
22,83.05,0.26
24,89.17,0.27
28,131.29,0.21
32,124.01,0.26
26,105.72,0.25
23,99.81,0.23
29,133.82,0.22
30,120.57,0.25
29,124.0,0.23
25,93.73,0.27
23,102.81,0.22
27,134.02,0.2
34,116.64,0.29
21,74.96,0.28
24,96.96,0.25
33,127.23,0.26
25,94.27,0.27
24,90.02,0.27
16,78.08,0.2
27,131.36,0.21
15,59.65,0.25
23,117.71,0.2
27,148.32,0.18
25,98.08,0.25
20,99.73,0.2
27,78.63,0.34
25,83.29,0.3
28,143.98,0.19
27,97.95,0.28
22,108.54,0.2
28,5554.75,0.01
29,95.63,0.3
23,68.76,0.33
25,89.07,0.28
21,83.16,0.25
26,101.83,0.26
22,76.0,0.29
21,84.35,0.25
21,66.4,0.32
26,100.37,0.26
24,96.52,0.25
